period,partner_country,flow,qty_kg,value_usd
2025,Guinea-Bissau,export,54000.0,64094.846
2025,Guyana,export,50902.0,66928.966
2025,Guyana,import,86820.0,35468.438
2025,Haiti,export,6750.0,12125.681
2025,Honduras,export,2064.0,5182.307
2025,Honduras,import,264850.0,96282.173
2025,Hungary,export,1610.0,10980.67
2025,Hungary,import,54891.0,57809.4
2025,India,import,1.0,13.687
2025,Indonesia,export,1543672.0,1999598.223
2025,Indonesia,import,7276290.0,7665003.467
2025,Iran,import,18248526.0,17857454.999
2025,Iraq,export,25.0,2390.08
2025,Ireland,import,127785.0,130995.837
2025,Israel,export,4037119.0,6691901.31
2025,Israel,import,4490234.0,7617050.901
2025,Italy,export,3590309.0,4071640.395
2025,Italy,import,3417452.883,6926759.067
2025,Jamaica,export,5.0,60.027
2025,Japan,export,28112.975,75694.458
2025,Japan,import,40379632.0,69788532.635
2025,Jordan,export,379530.0,751627.582
2025,Kenya,export,38285417.0,40039812.351
2025,Kenya,import,4970.0,5538.709
2025,Kuwait,export,467046.0,879133.072
2025,Kuwait,import,65093168.0,58610706.559
2025,Latvia,import,37870.0,20754.494
2025,Lebanon,export,64180.0,113930.016
2025,Liberia,export,30050.0,37866.225
2025,Lithuania,export,14000.0,26199.585
2025,Luxembourg,export,300.0,263.511
2025,Madagascar,export,313025.0,338101.941
2025,Malawi,export,26027.0,33699.052
2025,Malaysia,export,2256360.0,2192413.206
2025,Malaysia,import,47607705.0,47707422.723
2025,Maldives,export,383717.0,772586.545
2025,Mali,export,2799.0,3866.856
2025,Mauritius,export,283212.0,409700.791
2025,Mexico,export,26722.0,106258.233
2025,Mexico,import,7056.0,73550.895
2025,Morocco,export,546539.0,688903.48
2025,Mozambique,export,1466724.0,1450418.057
2025,Mozambique,import,29101.0,23285.17
2025,Myanmar,export,177453.0,278003.134
2025,Nepal,export,82340445.0,80981566.371
2025,Nepal,import,236500.0,55093.971
2025,Netherlands,export,235362.0,857852.43
2025,Netherlands,import,16268292.0,25717006.024
2025,New Zealand,export,5.0,61.325
2025,New Zealand,import,682153.0,319603.233
2025,Nigeria,export,2146961.0,2510881.147
2025,Nigeria,import,41928.0,22856.405
2025,Norway,import,2396350.0,4231470.305
2025,Oman,export,4655736.0,8163235.503
2025,Oman,import,119528701.0,109140235.557
2025,"Other Asia, nes",export,135307.0,173285.487
2025,"Other Asia, nes",import,28504451.0,39387537.905
2025,Panama,export,10.0,14.692
2025,Papua New Guinea,export,1435.0,2630.393
2025,Peru,export,29128.0,73168.808
2025,Peru,import,0.816,1.367
2025,Philippines,export,1719108.0,1627423.394
2025,Philippines,import,129654.0,86490.619
2025,Poland,export,1766007.0,2959988.624
2025,Poland,import,308371.0,325842.646
2025,Portugal,export,4861750.0,7110258.31
2025,Portugal,import,661886.0,1263655.409
2025,Qatar,export,2010527.0,2594869.461
2025,Qatar,import,201706256.0,205449496.199
2025,Rep. of Korea,export,1364513.0,1275748.559
2025,Rep. of Korea,import,254683267.0,365805999.36
2025,Romania,export,604.448,2960.305
2025,Romania,import,38840.0,29972.357
2025,Russian Federation,export,1115479.0,2306757.072
2025,Russian Federation,import,300775.0,359023.887
2025,Rwanda,export,359025.0,424783.702
2025,Saint Kitts and Nevis,export,16000.0,23332.708
